university,name,category,address,phone,lat,lng,distance,walk_distance,walk_time,menu,price,manual
정문(복지관),하이레,"음식점 > 일식 > 돈까스,우동",서울 노원구 광운로12길 6,,37.62096077851908,127.05941713733176,203,304.5,4,돈까스|초밥|우동|라멘,9000|12000|7000|9000,False
정문(복지관),화로상회 광운대점,음식점 > 뷔페 > 고기뷔페,서울 노원구 광운로 37,02-941-2292,37.62077461782266,127.05873055905124,160,240.0,3,대표메뉴|세트메뉴,8000|10000,False
정문(복지관),마떡다이천 광운대본점,음식점 > 분식 > 떡볶이,서울 노원구 석계로 106,02-976-4841,37.6231064273819,127.060407743094,455,682.5,10,김밥|라면|떡볶이|튀김,3500|4000|5000|6000,False
정문(복지관),일심해장국 월계점,음식점 > 한식 > 해장국,서울 노원구 석계로15길 25,02-909-1640,37.621977651357454,127.06183634914686,427,640.5,9,비빔밥|제육볶음|된장찌개|불고기,8000|9000|7000|12000,False
정문(복지관),더원,음식점 > 중식,서울 노원구 광운로 61,02-909-5477,37.6230814538525,127.05990930937736,436,654.0,9,짜장면|짬뽕|탕수육|볶음밥,7000|8000|18000|8000,False
정문(복지관),윤스쿡,"음식점 > 일식 > 돈까스,우동",서울 노원구 광운로 29,,37.6203107561798,127.058434555295,104,156.0,2,돈까스|초밥|우동|라멘,9000|12000|7000|9000,False
정문(복지관),진미통닭,음식점 > 치킨,서울 노원구 광운로 45,02-918-3492,37.6214654962473,127.059089046317,243,364.5,5,대표메뉴|세트메뉴,8000|10000,False
정문(복지관),수해복마라탕 광운대점,음식점 > 중식 > 중국요리,서울 노원구 광운로 39,02-917-3303,37.6210745477174,127.058929022312,197,295.5,4,짜장면|짬뽕|탕수육|볶음밥,7000|8000|18000|8000,False
정문(복지관),도미노피자 월계점,음식점 > 양식 > 피자 > 도미노피자,서울 노원구 광운로 52,02-915-3082,37.6219391607872,127.059595756284,307,460.5,7,파스타|피자|스테이크,12000|15000|25000,False
정문(복지관),디델리 광운대점,음식점 > 분식,서울 노원구 광운로 31,02-3292-1194,37.6204440641234,127.058511684455,120,180.0,3,김밥|라면|떡볶이|튀김,3500|4000|5000|6000,False
정문(복지관),이층집,"음식점 > 한식 > 찌개,전골",서울 노원구 광운로 17-5,02-941-3588,37.6193669821635,127.057495939695,67,100.5,1,비빔밥|제육볶음|된장찌개|불고기,8000|9000|7000|12000,False
정문(복지관),삼대냉면,음식점 > 한식 > 냉면,서울 노원구 석계로9길 33,,37.61666051655156,127.0626066854087,488,732.0,10,비빔밥|제육볶음|된장찌개|불고기,8000|9000|7000|12000,False
정문(복지관),마포연탄불고기,"음식점 > 한식 > 육류,고기 > 불고기,두루치기",서울 노원구 석계로18길 4,02-915-2826,37.623230699702965,127.0605324472798,472,708.0,10,비빔밥|제육볶음|된장찌개|불고기,8000|9000|7000|12000,False
정문(복지관),김밥천국,음식점 > 분식,서울 노원구 광운로 33,02-942-7804,37.620528733322885,127.05855932501956,130,195.0,3,김밥|라면|떡볶이|튀김,3500|4000|5000|6000,False
정문(복지관),팔팔전어횟집,"음식점 > 한식 > 해물,생선 > 회",서울 노원구 광운로 25,02-914-8876,37.6200477642131,127.058239523003,74,111.0,2,광어회|우럭회|모둠회|참돔회|연어회|대방어회|매운탕|회덮밥|물회|해물라면,35000|40000|60000|70000|38000|80000|10000|12000|15000|8000,False
정문(복지관),꽃제비칼국수,음식점 > 한식 > 국수 > 칼국수,서울 노원구 광운로12길 13,02-911-8371,37.6213083069597,127.05991694832,259,388.5,6,비빔밥|제육볶음|된장찌개|불고기,8000|9000|7000|12000,False
정문(복지관),미식성,음식점 > 중식 > 중국요리,서울 노원구 광운로 9,02-915-6020,37.6187111624562,127.057291550168,113,169.5,2,짜장면|짬뽕|탕수육|볶음밥,7000|8000|18000|8000,False
정문(복지관),여우곱창,"음식점 > 한식 > 육류,고기 > 곱창,막창",서울 노원구 광운로 68,02-919-3339,37.6233155258228,127.060271980912,471,706.5,10,비빔밥|제육볶음|된장찌개|불고기,8000|9000|7000|12000,False
정문(복지관),영축산정육식당,"음식점 > 한식 > 육류,고기",서울 노원구 광운로 52,02-915-6221,37.6217895178956,127.059751954723,298,447.0,6,비빔밥|제육볶음|된장찌개|불고기,8000|9000|7000|12000,False
정문(복지관),푸른스시,"음식점 > 일식 > 초밥,롤",서울 노원구 광운로 33,0503-7150-4889,37.620592674732514,127.05861714390358,138,207.0,3,돈까스|초밥|우동|라멘,9000|12000|7000|9000,False
정문(복지관),맛불,음식점 > 한식,서울 노원구 광운로 39,010-3489-3056,37.6210709511218,127.058914294016,196,294.0,4,비빔밥|제육볶음|된장찌개|불고기,8000|9000|7000|12000,False
정문(복지관),브레댄코 광운대점,"음식점 > 간식 > 제과,베이커리 > 브레댄코",서울 노원구 광운로 20,02-941-6108,37.61945936520447,127.05834893621858,11,16.5,0,대표메뉴|세트메뉴,8000|10000,False
정문(복지관),와플대학 광운대캠퍼스,"음식점 > 간식 > 제과,베이커리 > 와플대학",서울 노원구 광운로 64,02-941-3890,37.62283985104657,127.06018097652368,419,628.5,9,대표메뉴|세트메뉴,8000|10000,False
정문(복지관),한라산감자탕,음식점 > 한식 > 감자탕,서울 노원구 석계로15길 17,010-6482-8321,37.6223654328671,127.061151358349,418,627.0,9,비빔밥|제육볶음|된장찌개|불고기,8000|9000|7000|12000,False
정문(복지관),동대문엽기떡볶이 월계점,음식점 > 분식 > 떡볶이 > 동대문엽기떡볶이,서울 노원구 광운로 39,02-911-8591,37.6210601206078,127.05895166547,196,294.0,4,김밥|라면|떡볶이|튀김,3500|4000|5000|6000,False
